Date,Global,Australia,Canada,Germany,Ireland,Mexico,United Kingdom,United States,Alberta,British Columbia,Manitoba,Ontario,Quebec
9/19,-29.58,-1.12,-32.98,21.76,-16.93,-36.18,10.82,-34.52,-19.81,-37.3,,-34.2,-49.56
9/20,-32.29,-4.14,-34.12,18.05,-6.91,-43.12,11.94,-37.65,-25.9,-29.26,,-36.57,-53.89
9/21,-45.52,-18.23,-43.17,7.67,-33.25,-43.61,6.01,-52.22,-37.25,-32.61,,-47.34,-73.0
9/22,-45.47,-17.29,-45.13,4.92,-53.12,-44.81,0.46,-51.59,-30.71,-39.39,,-49.61,-71.57
9/23,-41.08,-15.77,-40.79,4.68,-38.67,-44.03,-4.74,-46.1,-29.49,-42.78,,-39.0,-67.82
9/24,-39.45,-16.87,-43.22,2.16,-40.7,-42.68,-18.3,-42.79,-32.32,-42.58,,-43.98,-65.6
9/25,-31.64,-2.99,-33.6,6.63,-21.88,-38.87,-9.34,-34.79,-21.5,-34.46,,-34.25,-59.91
9/26,-29.2,26.82,-31.14,10.26,-19.22,-33.59,1.15,-33.65,-16.2,-38.28,,-29.83,-50.89
9/27,-30.55,8.26,-31.22,4.6,-13.51,-35.37,1.65,-35.18,-17.15,-30.71,,-31.41,-55.19
9/28,-41.41,-12.08,-40.7,9.94,-25.75,-38.67,-2.09,-47.13,-34.31,-30.2,,-45.29,-71.36
9/29,-45.78,-12.2,-43.46,7.49,-43.42,-41.93,-7.84,-52.37,-39.16,-18.35,,-55.29,-61.07
9/30,-38.88,-7.6,-41.73,-8.49,-51.67,-38.9,-9.34,-43.38,-29.85,-17.68,,-57.34,-43.24
10/1,-38.5,-1.38,-44.68,-24.98,-25.72,-38.69,-16.72,-41.41,-26.14,-24.61,,-50.34,-94.72
10/2,-34.04,2.83,-41.26,12.55,-36.33,-36.3,-15.3,-37.12,-14.07,-24.04,,-51.09,-94.33
10/3,-28.46,3.68,-39.09,19.61,-26.46,-29.95,-4.03,-31.91,-13.83,-26.87,,-45.78,-93.5
10/4,-30.62,21.22,-46.45,14.99,-36.79,-28.71,-4.76,-34.55,-23.2,-31.78,,-55.34,-96.28
10/5,-36.48,10.63,-37.09,-4.73,-40.35,-23.73,-17.54,-41.73,-27.37,-18.54,,-43.87,-95.57
10/6,-42.11,-5.72,-45.91,-2.63,-50.63,-43.12,-21.6,-45.68,-22.38,-24.37,,-56.82,-96.39
10/7,-40.2,-6.74,-48.97,6.69,-73.33,-42.63,-12.09,-44.04,-26.89,-24.93,,-60.93,-96.92
10/8,-39.01,-3.79,-50.96,4.32,-70.3,-39.87,-14.8,-42.07,-29.16,-35.41,,-57.08,-96.34
10/9,-30.4,3.73,-38.31,10.48,-56.43,-33.61,-4.04,-33.51,-17.51,-35.03,,-43.21,-94.66
10/10,-26.07,7.71,-39.73,14.02,-42.53,-27.59,5.5,-29.63,-18.37,-26.66,,-48.75,-91.45
10/11,-33.75,3.02,-51.39,10.53,-35.2,-32.41,4.72,-37.65,-26.3,-37.48,,-60.94,-95.03
10/12,-46.59,-19.24,-46.76,12.18,-67.45,-37.3,-20.04,-51.0,-25.8,-25.98,,-62.95,-96.44
10/13,-45.86,-24.03,-54.28,7.01,-68.5,-41.09,-24.4,-49.95,-36.9,-32.57,,-64.01,-98.65
10/14,-39.53,-10.92,-49.64,-2.13,-59.51,-37.55,-18.12,-42.7,-29.59,-28.52,,-61.22,-97.2
10/15,-37.54,-6.64,-52.16,1.78,-56.33,-33.49,-15.21,-40.26,-25.91,-30.42,,-65.33,-96.07
10/16,-34.93,-1.35,-46.24,0.76,-46.9,-30.16,-5.73,-38.01,-27.91,-29.8,,-56.53,-96.93
10/17,-27.64,12.39,-40.59,-5.21,-38.86,-25.66,-10.85,-29.38,-15.63,-26.91,,-50.8,-95.97
10/18,-32.28,5.34,-48.74,-5.13,-45.43,-25.46,-8.87,-34.97,-31.71,-28.65,,-60.12,-97.9
10/19,-48.64,-21.41,-57.74,-9.33,-53.73,-32.59,-25.72,-52.15,-43.97,-29.56,,-71.39,-98.97
10/20,-47.04,-18.2,-54.63,-10.66,-46.47,-37.91,-26.97,-50.39,-31.72,-27.34,,-68.52,-98.56
10/21,-44.47,-21.03,-54.26,-14.41,-36.55,-40.73,-26.54,-46.94,-33.33,-24.09,,-70.06,-98.41
10/22,-41.21,-4.37,-54.76,-15.0,-95.48,-38.46,-20.59,-43.15,-34.97,-27.4,,-66.85,-97.82
10/23,-32.23,11.09,-43.68,-18.66,-94.92,-32.22,-14.96,-33.46,-23.27,-32.4,,-49.53,-96.59
10/24,-27.19,5.32,-39.17,-20.83,-94.44,-30.26,-8.03,-27.94,-7.99,-18.31,,-53.38,-96.73
10/25,-35.26,1.37,-45.34,-22.28,-94.94,-36.46,-1.96,-38.27,-24.71,-27.13,,-56.01,-98.28
10/26,-51.74,-22.73,-57.39,-33.29,-97.66,-44.57,-5.87,-56.32,-30.34,-33.29,,-71.42,-98.68
10/27,-47.91,-28.21,-56.76,-32.78,-97.89,-40.71,-10.82,-51.43,-34.21,-29.14,,-71.43,-98.8
10/28,-39.32,3.99,-46.36,-28.77,-99.34,-37.58,-1.65,-43.64,-19.37,-22.81,,-60.51,-97.93
10/29,-25.37,23.3,-25.4,-32.29,-96.93,-35.7,-3.32,-27.05,8.79,-3.15,,-42.19,-95.21
10/30,-37.16,43.78,-43.87,-19.05,-96.83,-39.52,0.02,-41.31,-15.97,-26.71,,-57.57,-96.12
10/31,-47.84,36.89,-56.27,-9.89,-95.55,-40.89,-4.88,-53.83,-36.52,-39.84,,-64.96,-96.55
11/1,-38.58,44.54,-49.41,12.25,-98.39,-40.35,11.23,-45.28,-26.97,-21.74,,-65.77,-98.38
11/2,-50.39,14.37,-58.08,-96.01,-99.56,-28.04,21.81,-56.22,-39.0,-27.82,,-71.15,-99.3
11/3,-52.5,33.96,-61.56,-96.3,-99.88,-48.69,47.08,-60.6,-29.17,-44.69,,-72.34,-98.83
11/4,-46.63,25.25,-52.79,-96.56,-99.76,-49.96,70.51,-54.78,-29.45,-38.48,,-58.76,-98.55
11/5,-48.69,35.81,-50.3,-95.72,-99.85,-47.67,-90.29,-47.56,-31.71,-31.32,,-55.44,-95.33
11/6,-39.38,46.46,-41.6,-95.08,-97.79,-43.16,-88.87,-38.05,-21.79,-26.13,,-47.01,-96.77
11/7,-36.61,58.85,-39.75,-94.77,-97.99,-38.92,-84.48,-35.24,-26.36,-27.85,,-39.64,-96.08
11/8,-46.7,56.68,-49.39,-97.48,-98.41,-42.5,-88.07,-45.89,-52.69,-46.85,,-36.61,-98.3
11/9,-58.51,15.98,-51.15,-98.45,-99.62,-42.29,-90.03,-58.86,-45.34,-64.12,,-24.93,-98.17
11/10,-47.19,28.19,-35.05,-97.23,-99.78,-42.13,-91.26,-46.54,-25.69,-23.31,,-33.03,-96.39
